Código / SKU,Producto,Categoría,Costo Compra / Elaboración (Neto),Precio Venta (IVA Inc.),Stock Inicial,Stock Mínimo,Fecha Elaboración,Fecha Vencimiento,Unidad
780990001001,Torta Tres Leches Tradicional (Porción),Pastelería & Elaboración Propia,1400,3500,12,3,2026-08-18,2026-08-21,porción
780990001002,Torta Selva Negra (Porción),Pastelería & Elaboración Propia,1600,3800,10,3,2026-08-18,2026-08-21,porción
780990001003,Torta Milhojas con Manjar Casero (Porción),Pastelería & Elaboración Propia,1300,3200,15,4,2026-08-18,2026-08-23,porción
780990001004,Pie de Limón Merengue Italiano (Porción),Pastelería & Elaboración Propia,1100,2800,14,3,2026-08-18,2026-08-21,porción
780990001005,Kuchen de Frambuesa Sureño (Porción),Pastelería & Elaboración Propia,1250,3000,12,3,2026-08-18,2026-08-22,porción
780990001006,Kuchen de Manzana y Canela (Porción),Pastelería & Elaboración Propia,1000,2600,10,2,2026-08-18,2026-08-22,porción
780990001007,Cheesecake de Frutos Rojos (Porción),Pastelería & Elaboración Propia,1800,4200,8,2,2026-08-18,2026-08-21,porción
780990001008,Brazo de Reina con Manjar Artesanal (Porción),Pastelería & Elaboración Propia,900,2200,12,3,2026-08-18,2026-08-22,porción
780990001009,Alfajor de Maicena Artesanal con Coco,Pastelería & Elaboración Propia,500,1200,30,6,2026-08-18,2026-08-28,unidad
780990001010,Alfajor de Chocolate Relleno de Manjar,Pastelería & Elaboración Propia,650,1500,25,5,2026-08-18,2026-08-30,unidad
780990001011,Berliner Relleno con Crema Pastelera,Pastelería & Elaboración Propia,550,1400,18,4,2026-08-18,2026-08-20,unidad
780990001012,Berliner Relleno con Manjar,Pastelería & Elaboración Propia,550,1400,18,4,2026-08-18,2026-08-20,unidad
780990001013,Medialuna de Mantequilla Horneada,Pastelería & Elaboración Propia,350,900,35,8,2026-08-18,2026-08-20,unidad
780990001014,Empanada de Pino de Horno Especial,Pastelería & Elaboración Propia,1200,2600,24,5,2026-08-18,2026-08-20,unidad
780990001015,Empanada de Queso Masa Fina,Pastelería & Elaboración Propia,1000,2200,20,4,2026-08-18,2026-08-20,unidad
780990001016,Muffin de Arándanos y Vainilla,Pastelería & Elaboración Propia,600,1500,16,4,2026-08-18,2026-08-22,unidad
780990001017,Queque Marmolado Casero (Trozo),Pastelería & Elaboración Propia,450,1200,15,3,2026-08-18,2026-08-23,porción
780990001018,"Galletones de Avena, Miel y Pasas",Pastelería & Elaboración Propia,400,1000,25,5,2026-08-18,2026-09-02,unidad
780990001019,Palmeras de Hojaldre Caramelizadas,Pastelería & Elaboración Propia,350,900,20,5,2026-08-18,2026-08-25,unidad
780990001020,Torta Entera Tres Leches (15 Personas),Pastelería & Elaboración Propia,9500,24990,3,1,2026-08-18,2026-08-21,unidad
